ID,raw_event_ID,start_time,end_time,player_ID,team_ID,half,start_pos_x,start_pos_y,successful,receiver,end_pos_x,end_pos_y,cross
20200722-NJ-CHI-85,20200722-NJ-CHI-348,7:14,7:34,Gina Loren Lewandowski,NJ,1st half,45.0,14.8,1,Margaret Purce,58.9,2.0,0
20200722-NJ-CHI-86,20200722-NJ-CHI-352,7:16,7:36,Margaret Purce,NJ,1st half,59.4,2.4,0,Alyssa Naeher,96.7,25.2,0
20200722-NJ-CHI-87,20200722-NJ-CHI-357,7:22,7:42,Alyssa Naeher,CHI,1st half,10.4,43.3,1,Julie Beth Ertz,24.6,16.9,0
20200722-NJ-CHI-88,20200722-NJ-CHI-359,7:25,8:15,Katie Johnson Carreon,CHI,1st half,79.5,37.1,1,Bianca St. Georges,93.4,27.2,0
20200722-NJ-CHI-89,20200722-NJ-CHI-362,7:30,7:50,Julie Beth Ertz,CHI,1st half,56.4,15.8,0,Nahomi Kawasumi,60.6,9.9,0
20200722-NJ-CHI-90,20200722-NJ-CHI-366,7:32,7:52,Nahomi Kawasumi,NJ,1st half,43.6,56.5,1,Sarah Christine Woldmoe,48.3,49.9,0
20200722-NJ-CHI-91,20200722-NJ-CHI-374,7:34,7:54,Kealia Mae Watt,CHI,1st half,59.2,16.9,1,Savannah McCaskill,60.4,25.0,0
20200722-NJ-CHI-92,20200722-NJ-CHI-379,7:35,7:55,Savannah McCaskill,CHI,1st half,60.4,25.0,1,Katie Johnson Carreon,66.9,38.1,0
20200722-NJ-CHI-93,20200722-NJ-CHI-394,9:14,9:34,McCall RaNae Zerboni,NJ,1st half,52.6,34.1,1,Jennifer Cudjoe,46.8,43.7,0
20200722-NJ-CHI-94,20200722-NJ-CHI-396,9:15,9:35,Jennifer Cudjoe,NJ,1st half,46.8,44.6,1,Sabrina Flores,45.1,60.0,0
20200722-NJ-CHI-95,20200722-NJ-CHI-400,9:19,9:39,Sabrina Flores,NJ,1st half,45.7,60.2,1,Erica Skroski,36.2,52.0,0
20200722-NJ-CHI-96,20200722-NJ-CHI-402,9:22,9:42,Erica Skroski,NJ,1st half,26.6,54.6,1,Kailen Mary Sheridan,11.5,41.0,0
20200722-NJ-CHI-97,20200722-NJ-CHI-405,9:29,9:49,Kailen Mary Sheridan,NJ,1st half,19.7,21.4,1,Nahomi Kawasumi,50.7,56.7,0
20200722-NJ-CHI-98,20200722-NJ-CHI-408,9:34,9:54,Nahomi Kawasumi,NJ,1st half,60.6,56.6,1,Ifeoma Chukwufumnay Onumonu,71.4,43.8,0
20200722-NJ-CHI-99,20200722-NJ-CHI-411,9:35,9:55,Ifeoma Chukwufumnay Onumonu,NJ,1st half,71.4,43.8,1,Jennifer Cudjoe,62.5,44.3,0
20200722-NJ-CHI-100,20200722-NJ-CHI-420,9:37,9:57,Vanessa Sue Di Bernardo,CHI,1st half,41.3,20.8,1,Rachel Hill,55.8,15.6,0
20200722-NJ-CHI-101,20200722-NJ-CHI-421,9:39,9:59,Erica Skroski,NJ,1st half,49.2,52.4,1,Sabrina Flores,49.0,59.2,0
20200722-NJ-CHI-102,20200722-NJ-CHI-427,9:41,10:01,Sabrina Flores,NJ,1st half,49.0,59.2,1,Erica Skroski,44.0,52.2,0
20200722-NJ-CHI-103,20200722-NJ-CHI-430,9:43,10:03,Erica Skroski,NJ,1st half,44.2,50.1,1,Gina Loren Lewandowski,42.5,32.5,0
20200722-NJ-CHI-104,20200722-NJ-CHI-432,9:46,10:06,Gina Loren Lewandowski,NJ,1st half,48.9,31.4,1,Paige Monaghan,67.3,19.0,0
20200722-NJ-CHI-105,20200722-NJ-CHI-435,9:48,10:08,Paige Monaghan,NJ,1st half,67.3,19.0,1,McCall RaNae Zerboni,68.5,26.6,0
20200722-NJ-CHI-106,20200722-NJ-CHI-437,9:49,10:09,McCall RaNae Zerboni,NJ,1st half,68.5,26.6,1,Ifeoma Chukwufumnay Onumonu,61.4,27.1,0
20200722-NJ-CHI-107,20200722-NJ-CHI-440,9:52,10:12,Ifeoma Chukwufumnay Onumonu,NJ,1st half,65.2,23.7,1,Margaret Purce,64.6,4.7,0
