ID,raw_event_ID,start_time,end_time,player_ID,team_ID,action,half,successful,pos_x,pos_y
20200722-NJ-CHI-64,20200722-NJ-CHI-425,9:39,9:59,Rachel Hill,CHI,challenge,1st half,0,55.8,15.6
20200722-NJ-CHI-65,20200722-NJ-CHI-450,9:59,10:19,Margaret Purce,NJ,recovery,1st half,null,66.1,2.8
20200722-NJ-CHI-66,20200722-NJ-CHI-459,10:05,10:25,McCall RaNae Zerboni,NJ,challenge,1st half,0,65.1,12.8
20200722-NJ-CHI-67,20200722-NJ-CHI-460,10:05,10:25,Danielle Colaprico,CHI,challenge,1st half,1,39.9,55.2
20200722-NJ-CHI-68,20200722-NJ-CHI-478,10:26,10:46,Sabrina Flores,NJ,challenge,1st half,0,6.5,58.8
20200722-NJ-CHI-69,20200722-NJ-CHI-479,10:26,10:46,Sabrina Flores,NJ,tackle,1st half,0,6.5,58.8
20200722-NJ-CHI-70,20200722-NJ-CHI-480,10:26,10:46,Kealia Mae Watt,CHI,take_on,1st half,1,98.5,9.2
20200722-NJ-CHI-71,20200722-NJ-CHI-487,10:30,10:50,Bianca St. Georges,CHI,recovery,1st half,null,89.7,15.7
20200722-NJ-CHI-72,20200722-NJ-CHI-498,10:35,10:55,Rachel Hill,CHI,recovery,1st half,null,97.0,39.4
20200722-NJ-CHI-73,20200722-NJ-CHI-512,11:36,11:56,Ifeoma Chukwufumnay Onumonu,NJ,challenge,1st half,0,61.6,39.6
20200722-NJ-CHI-74,20200722-NJ-CHI-513,11:36,11:56,Julie Beth Ertz,CHI,challenge,1st half,1,43.4,28.4
20200722-NJ-CHI-75,20200722-NJ-CHI-516,11:37,11:57,Sarah Gorden,CHI,recovery,1st half,null,38.0,32.7
20200722-NJ-CHI-76,20200722-NJ-CHI-518,11:40,12:00,Kailen Mary Sheridan,NJ,recovery,1st half,null,22.8,23.3
20200722-NJ-CHI-77,20200722-NJ-CHI-544,12:01,12:21,Bianca St. Georges,CHI,foul,1st half,null,68.2,5.7
20200722-NJ-CHI-78,20200722-NJ-CHI-550,12:25,12:45,McCall RaNae Zerboni,NJ,challenge,1st half,0,54.1,47.4
20200722-NJ-CHI-79,20200722-NJ-CHI-552,12:25,12:45,Rachel Hill,CHI,challenge,1st half,1,50.9,20.6
20200722-NJ-CHI-80,20200722-NJ-CHI-558,12:29,12:49,Vanessa Sue Di Bernardo,CHI,recovery,1st half,null,39.6,15.7
20200722-NJ-CHI-81,20200722-NJ-CHI-583,13:24,13:44,Paige Monaghan,NJ,challenge,1st half,0,64.0,2.0
20200722-NJ-CHI-82,20200722-NJ-CHI-584,13:24,13:44,Zoey Goralski,CHI,challenge,1st half,1,41.0,66.0
20200722-NJ-CHI-83,20200722-NJ-CHI-586,13:25,13:45,Katie Johnson Carreon,CHI,recovery,1st half,null,45.0,66.1
20200722-NJ-CHI-84,20200722-NJ-CHI-600,13:36,13:56,Margaret Purce,NJ,foul,1st half,null,54.8,0.9
20200722-NJ-CHI-85,20200722-NJ-CHI-620,14:08,14:28,Zoey Goralski,CHI,recovery,1st half,null,95.5,56.1
20200722-NJ-CHI-86,20200722-NJ-CHI-633,14:19,14:39,Jennifer Cudjoe,NJ,recovery,1st half,null,15.4,18.2
20200722-NJ-CHI-87,20200722-NJ-CHI-651,14:40,15:00,Nahomi Kawasumi,NJ,challenge,1st half,0,99.5,54.9
20200722-NJ-CHI-88,20200722-NJ-CHI-654,14:40,15:00,Julie Beth Ertz,CHI,challenge,1st half,1,5.5,13.1
20200722-NJ-CHI-89,20200722-NJ-CHI-680,15:39,15:59,Savannah McCaskill,CHI,recovery,1st half,null,42.8,43.6
20200722-NJ-CHI-90,20200722-NJ-CHI-700,16:01,16:21,Kailen Mary Sheridan,NJ,recovery,1st half,null,16.0,43.0
20200722-NJ-CHI-91,20200722-NJ-CHI-726,16:47,17:07,Vanessa Sue Di Bernardo,CHI,challenge,1st half,0,40.5,15.6
20200722-NJ-CHI-92,20200722-NJ-CHI-728,16:47,17:07,Jennifer Cudjoe,NJ,tackle,1st half,1,64.5,52.4
20200722-NJ-CHI-93,20200722-NJ-CHI-729,16:47,17:07,Jennifer Cudjoe,NJ,challenge,1st half,1,64.5,52.4
20200722-NJ-CHI-94,20200722-NJ-CHI-734,16:49,17:09,Vanessa Sue Di Bernardo,CHI,recovery,1st half,null,31.4,19.6
20200722-NJ-CHI-95,20200722-NJ-CHI-753,17:50,18:10,Gina Loren Lewandowski,NJ,challenge,1st half,1,21.2,1.9
20200722-NJ-CHI-96,20200722-NJ-CHI-754,17:50,18:10,Rachel Hill,CHI,challenge,1st half,0,83.8,66.1
20200722-NJ-CHI-97,20200722-NJ-CHI-756,17:50,18:10,Gina Loren Lewandowski,NJ,tackle,1st half,1,21.2,1.9
20200722-NJ-CHI-98,20200722-NJ-CHI-772,18:14,18:34,Danielle Colaprico,CHI,recovery,1st half,null,69.9,57.5
20200722-NJ-CHI-99,20200722-NJ-CHI-774,18:16,18:36,Danielle Colaprico,CHI,challenge,1st half,0,70.4,64.8
20200722-NJ-CHI-100,20200722-NJ-CHI-775,18:16,18:36,McCall RaNae Zerboni,NJ,tackle,1st half,1,34.6,3.2
20200722-NJ-CHI-101,20200722-NJ-CHI-776,18:16,18:36,Danielle Colaprico,CHI,take_on,1st half,0,70.4,64.8
20200722-NJ-CHI-102,20200722-NJ-CHI-777,18:16,18:36,McCall RaNae Zerboni,NJ,challenge,1st half,1,34.6,3.2
