ID,raw_event_ID,start_time,end_time,player_ID,team_ID,action,half,successful,pos_x,pos_y
20190719-POR-UTA-139,20190719-POR-UTA-1062,25:15,25:35,Kate Elizabeth Bowen,UTA,foul,1st half,null,40.4,3.7
20190719-POR-UTA-140,20190719-POR-UTA-1110,27:53,28:13,Lo'eau LaBonta,UTA,challenge,1st half,1,5.6,63.3
20190719-POR-UTA-141,20190719-POR-UTA-1111,27:53,28:13,Ellie Madison Carpenter,POR,challenge,1st half,0,99.4,4.7
20190719-POR-UTA-142,20190719-POR-UTA-1114,27:57,28:17,Katherine Nicole Stengel,UTA,challenge,1st half,0,19.8,57.0
20190719-POR-UTA-143,20190719-POR-UTA-1117,27:57,28:17,Gabrielle Seiler,POR,challenge,1st half,1,85.2,11.0
20190719-POR-UTA-144,20190719-POR-UTA-1132,28:12,28:32,Desiree Rose Marie Scott,UTA,challenge,1st half,0,7.7,11.4
20190719-POR-UTA-145,20190719-POR-UTA-1133,28:12,28:32,Desiree Rose Marie Scott,UTA,tackle,1st half,0,7.7,11.4
20190719-POR-UTA-146,20190719-POR-UTA-1134,28:12,28:32,Meghan Elizabeth Klingenberg,POR,take_on,1st half,1,97.3,56.6
20190719-POR-UTA-147,20190719-POR-UTA-1143,28:16,28:36,Margaret Purce,POR,recovery,1st half,null,79.8,60.7
20190719-POR-UTA-148,20190719-POR-UTA-1164,29:00,29:20,Nicole Renee Barnhart,UTA,recovery,1st half,null,3.7,32.5
20190719-POR-UTA-149,20190719-POR-UTA-1169,29:16,29:36,Ellie Madison Carpenter,POR,recovery,1st half,null,60.2,2.6
20190719-POR-UTA-150,20190719-POR-UTA-1187,29:42,30:02,Christen Annemarie Press,UTA,challenge,1st half,0,65.6,67.4
20190719-POR-UTA-151,20190719-POR-UTA-1188,29:42,30:02,Christen Annemarie Press,UTA,take_on,1st half,0,65.6,67.4
20190719-POR-UTA-152,20190719-POR-UTA-1189,29:42,30:02,Elizabeth Rose Ball,POR,tackle,1st half,1,39.4,0.59999999999999
20190719-POR-UTA-153,20190719-POR-UTA-1190,29:42,30:02,Elizabeth Rose Ball,POR,challenge,1st half,1,39.4,0.59999999999999
20190719-POR-UTA-154,20190719-POR-UTA-1194,29:45,30:05,Lindsey Michelle Horan,POR,challenge,1st half,0,45.2,10.2
20190719-POR-UTA-155,20190719-POR-UTA-1196,29:45,30:05,Lindsey Michelle Horan,POR,tackle,1st half,0,45.2,10.2
20190719-POR-UTA-156,20190719-POR-UTA-1197,29:45,30:05,Katherine Nicole Stengel,UTA,take_on,1st half,1,59.8,57.8
20190719-POR-UTA-157,20190719-POR-UTA-1198,29:45,30:05,Katherine Nicole Stengel,UTA,recovery,1st half,null,59.8,57.8
20190719-POR-UTA-158,20190719-POR-UTA-1202,29:45,30:05,Katherine Nicole Stengel,UTA,dribble,1st half,1,60.4,58.7
20190719-POR-UTA-159,20190719-POR-UTA-1208,29:53,30:13,Amy Joy Rodriguez Shilling,UTA,challenge,1st half,0,82.4,48.5
20190719-POR-UTA-160,20190719-POR-UTA-1209,29:53,30:13,Emily Townsend Menges,POR,challenge,1st half,1,22.6,19.5
20190719-POR-UTA-161,20190719-POR-UTA-1212,29:54,30:14,Lo'eau LaBonta,UTA,recovery,1st half,null,73.5,58.7
20190719-POR-UTA-162,20190719-POR-UTA-1229,32:12,32:32,Katherine Reynolds,POR,recovery,1st half,null,22.8,59.1
20190719-POR-UTA-163,20190719-POR-UTA-1236,32:16,32:36,Rachel Louise Corsie,UTA,tackle,1st half,0,58.3,5.7
20190719-POR-UTA-164,20190719-POR-UTA-1237,32:16,32:36,Rachel Louise Corsie,UTA,challenge,1st half,0,58.3,5.7
20190719-POR-UTA-165,20190719-POR-UTA-1238,32:16,32:36,Margaret Purce,POR,take_on,1st half,1,46.7,62.3
20190719-POR-UTA-166,20190719-POR-UTA-1240,32:16,32:36,Rachel Louise Corsie,UTA,foul,1st half,null,57.2,2.6
20190719-POR-UTA-167,20190719-POR-UTA-1252,32:51,33:11,Hayley Emma Raso,POR,foul,1st half,null,38.5,5.7
20190719-POR-UTA-168,20190719-POR-UTA-1259,33:38,33:58,Katherine Reynolds,POR,challenge,1st half,1,14.5,39.2
20190719-POR-UTA-169,20190719-POR-UTA-1261,33:38,33:58,Kate Elizabeth Bowen,UTA,challenge,1st half,0,90.5,28.8
20190719-POR-UTA-170,20190719-POR-UTA-1267,33:41,34:01,Lindsey Michelle Horan,POR,recovery,1st half,null,11.0,33.3
20190719-POR-UTA-171,20190719-POR-UTA-1273,33:50,34:10,Christen Annemarie Press,UTA,take_on,1st half,1,90.5,64.3
20190719-POR-UTA-172,20190719-POR-UTA-1274,33:50,34:10,Hayley Emma Raso,POR,challenge,1st half,0,14.5,3.7
20190719-POR-UTA-173,20190719-POR-UTA-1275,33:50,34:10,Hayley Emma Raso,POR,tackle,1st half,0,14.5,3.7
20190719-POR-UTA-174,20190719-POR-UTA-1285,33:54,34:14,Gunnhildur Yrsa Jonsdottir,UTA,challenge,1st half,1,95.0,23.8
20190719-POR-UTA-175,20190719-POR-UTA-1287,33:54,34:14,Gabrielle Seiler,POR,challenge,1st half,0,10.0,44.2
20190719-POR-UTA-176,20190719-POR-UTA-1291,33:59,34:19,Gabrielle Seiler,POR,challenge,1st half,0,14.9,52.0
20190719-POR-UTA-177,20190719-POR-UTA-1293,33:59,34:19,Katherine Nicole Stengel,UTA,challenge,1st half,1,90.1,16.0
20190719-POR-UTA-178,20190719-POR-UTA-1299,34:08,34:28,Kelley Maureen O'Hara,UTA,dribble,1st half,1,80.3,56.4
20190719-POR-UTA-179,20190719-POR-UTA-1308,34:44,35:04,Christine Margaret Sinclair,POR,challenge,1st half,0,56.2,37.6
20190719-POR-UTA-180,20190719-POR-UTA-1309,34:44,35:04,Desiree Rose Marie Scott,UTA,challenge,1st half,1,48.8,30.4
20190719-POR-UTA-181,20190719-POR-UTA-1315,34:46,35:06,Ellie Madison Carpenter,POR,recovery,1st half,null,53.0,27.2
