ID,raw_event_ID,start_time,end_time,player_ID,team_ID,half,start_pos_x,start_pos_y,successful,receiver,end_pos_x,end_pos_y,cross
20190719-POR-UTA-12,20190719-POR-UTA-53,0:31,0:51,Kate Elizabeth Bowen,UTA,1st half,39.7,12.4,1,Nicole Renee Barnhart,17.8,32.7,0
20190719-POR-UTA-13,20190719-POR-UTA-54,0:34,0:54,Nicole Renee Barnhart,UTA,1st half,17.8,32.7,1,Becky Sauerbrunn,25.4,36.9,0
20190719-POR-UTA-14,20190719-POR-UTA-58,0:37,0:57,Becky Sauerbrunn,UTA,1st half,25.6,35.1,1,Rachel Louise Corsie,27.8,4.2,0
20190719-POR-UTA-15,20190719-POR-UTA-60,0:40,1:00,Rachel Louise Corsie,UTA,1st half,29.8,2.0,1,Amy Joy Rodriguez Shilling,60.2,5.2,0
20190719-POR-UTA-16,20190719-POR-UTA-64,0:43,1:03,Amy Joy Rodriguez Shilling,UTA,1st half,57.8,6.2,0,Lindsey Michelle Horan,55.0,4.4,0
20190719-POR-UTA-17,20190719-POR-UTA-69,0:44,1:04,Gunnhildur Yrsa Jonsdottir,UTA,1st half,55.5,1.8,1,Mandy Laddish,63.0,11.0,0
20190719-POR-UTA-18,20190719-POR-UTA-72,0:45,1:05,Mandy Laddish,UTA,1st half,63.0,11.0,1,Amy Joy Rodriguez Shilling,57.0,10.4,0
20190719-POR-UTA-19,20190719-POR-UTA-75,0:47,1:07,Amy Joy Rodriguez Shilling,UTA,1st half,60.7,11.6,1,Lo'eau LaBonta,56.7,36.7,0
20190719-POR-UTA-20,20190719-POR-UTA-78,0:52,1:12,Lo'eau LaBonta,UTA,1st half,65.8,45.9,1,Christen Annemarie Press,80.8,48.3,0
20190719-POR-UTA-21,20190719-POR-UTA-80,0:53,1:13,Christen Annemarie Press,UTA,1st half,80.8,48.3,1,Lo'eau LaBonta,73.2,58.0,0
20190719-POR-UTA-22,20190719-POR-UTA-83,0:55,1:15,Lo'eau LaBonta,UTA,1st half,75.1,58.6,1,Kelley Maureen O'Hara,88.9,65.8,0
20190719-POR-UTA-23,20190719-POR-UTA-87,0:57,1:17,Kelley Maureen O'Hara,UTA,1st half,86.1,64.8,1,Lo'eau LaBonta,71.2,57.6,0
20190719-POR-UTA-24,20190719-POR-UTA-90,1:00,1:20,Lo'eau LaBonta,UTA,1st half,70.7,53.4,1,Desiree Rose Marie Scott,59.3,43.9,0
20190719-POR-UTA-25,20190719-POR-UTA-94,1:02,1:22,Desiree Rose Marie Scott,UTA,1st half,59.5,46.7,0,Ellie Madison Carpenter,63.0,68.0,0
20190719-POR-UTA-26,20190719-POR-UTA-96,1:21,1:41,Ellie Madison Carpenter,POR,1st half,42.0,0.0,0,Rachel Louise Corsie,82.8,19.7,0
20190719-POR-UTA-27,20190719-POR-UTA-99,1:27,1:47,Rachel Louise Corsie,UTA,1st half,22.2,48.3,1,Nicole Renee Barnhart,13.5,36.9,0
20190719-POR-UTA-28,20190719-POR-UTA-100,1:28,1:48,Nicole Renee Barnhart,UTA,1st half,13.5,36.9,0,Christine Margaret Sinclair,41.1,23.3,0
20190719-POR-UTA-29,20190719-POR-UTA-111,1:48,2:08,Meghan Elizabeth Klingenberg,POR,1st half,76.5,68.0,1,Christine Margaret Sinclair,78.2,53.4,0
20190719-POR-UTA-30,20190719-POR-UTA-117,1:52,2:12,Christine Margaret Sinclair,POR,1st half,80.0,55.8,1,Hayley Emma Raso,93.8,61.0,0
