ID,start_time,end_time,player_ID,team_ID,action,half,pos_x,pos_y
20180915-RGN-POR-109,2:51,3:11,Rumi Utsugi,RGN,Positional attacks,1st half,47.0,11.5
20180915-RGN-POR-110,2:51,3:11,Rumi Utsugi,RGN,Positional attacks,1st half,47.0,11.5
20180915-RGN-POR-111,2:51,3:11,Rumi Utsugi,RGN,Passes (inaccurate),1st half,47.0,11.5
20180915-RGN-POR-112,2:52,3:12,Celeste Anais Boureille,POR,Positional attacks,1st half,47.9,46.9
20180915-RGN-POR-113,2:52,3:12,Celeste Anais Boureille,POR,Passes (inaccurate),1st half,47.9,46.9
20180915-RGN-POR-114,2:52,3:12,Celeste Anais Boureille,POR,Positional attacks,1st half,47.9,46.9
20180915-RGN-POR-115,2:52,3:12,Celeste Anais Boureille,POR,Picking-ups,1st half,47.9,46.9
20180915-RGN-POR-116,2:55,3:15,Jessica Anne Fishlock,RGN,Air challenges (lost),1st half,54.8,30.4
20180915-RGN-POR-117,2:55,3:15,Celeste Anais Boureille,POR,Challenges (won),1st half,50.2,37.6
20180915-RGN-POR-118,2:55,3:15,Jessica Anne Fishlock,RGN,Challenges (lost),1st half,54.8,30.4
20180915-RGN-POR-119,2:55,3:15,Celeste Anais Boureille,POR,Air challenges (won),1st half,50.2,37.6
20180915-RGN-POR-120,2:55,3:15,Celeste Anais Boureille,POR,Positional attacks,1st half,50.2,37.6
20180915-RGN-POR-121,2:57,3:17,Lindsey Michelle Horan,POR,Positional attacks,1st half,48.3,40.0
20180915-RGN-POR-122,2:57,3:17,Lindsey Michelle Horan,POR,Picking-ups,1st half,48.3,40.0
20180915-RGN-POR-123,2:57,3:17,Lindsey Michelle Horan,POR,Passes (inaccurate),1st half,48.3,40.0
20180915-RGN-POR-124,2:57,3:17,Lindsey Michelle Horan,POR,Positional attacks,1st half,48.3,40.0
20180915-RGN-POR-125,2:57,3:17,Lindsey Michelle Horan,POR,Lost balls,1st half,55.7,31.8
20180915-RGN-POR-126,2:58,3:18,Rumi Utsugi,RGN,Counter-attacks,1st half,49.3,36.2
20180915-RGN-POR-127,2:58,3:18,Rumi Utsugi,RGN,Passes accurate,1st half,49.3,36.2
20180915-RGN-POR-128,2:58,3:18,Rumi Utsugi,RGN,Positional attacks,1st half,49.3,36.2
20180915-RGN-POR-129,2:58,3:18,Rumi Utsugi,RGN,Picking-ups,1st half,49.3,36.2
20180915-RGN-POR-130,2:59,3:19,Megan Anna Rapinoe,RGN,Passes accurate,1st half,57.1,37.8
20180915-RGN-POR-131,2:59,3:19,Megan Anna Rapinoe,RGN,Counter-attacks,1st half,57.1,37.8
20180915-RGN-POR-132,3:00,3:20,Jessica Anne Fishlock,RGN,Counter-attacks,1st half,62.4,35.9
20180915-RGN-POR-133,3:02,3:22,Jessica Anne Fishlock,RGN,Inaccurate extra attacking pass,1st half,68.0,44.3
20180915-RGN-POR-134,3:02,3:22,Jessica Anne Fishlock,RGN,Passes into the penalty box,1st half,68.0,44.3
