ID,raw_event_ID,start_time,end_time,player_ID,team_ID,half,start_pos_x,start_pos_y,successful,receiver,end_pos_x,end_pos_y,cross
20180915-RGN-POR-119,20180915-RGN-POR-553,14:01,14:21,Adrianna Nichole Franch,POR,1st half,9.0,38.3,1,Lindsey Michelle Horan,26.5,51.5,0
20180915-RGN-POR-120,20180915-RGN-POR-559,14:40,15:00,Adrianna Nichole Franch,POR,1st half,28.1,49.6,0,Rumi Utsugi,71.6,45.3,0
20180915-RGN-POR-121,20180915-RGN-POR-561,14:42,15:02,Rumi Utsugi,RGN,1st half,33.4,22.7,1,Jessica Anne Fishlock,39.1,17.5,0
20180915-RGN-POR-122,20180915-RGN-POR-568,14:44,15:04,Celeste Anais Boureille,POR,1st half,65.9,50.5,0,Theresa Eslund,74.3,51.2,0
20180915-RGN-POR-123,20180915-RGN-POR-572,14:46,15:06,Theresa Eslund,RGN,1st half,30.7,16.8,1,Jodie Lee Taylor,72.5,12.9,0
20180915-RGN-POR-124,20180915-RGN-POR-580,14:51,15:11,Emily Townsend Menges,POR,1st half,37.2,53.9,0,Jasmyne Spencer,38.6,53.6,0
20180915-RGN-POR-125,20180915-RGN-POR-592,15:03,15:23,Stephanie-Elise Catley,RGN,1st half,78.5,68.0,1,Megan Anna Rapinoe,85.7,59.6,0
20180915-RGN-POR-126,20180915-RGN-POR-597,15:07,15:27,Megan Anna Rapinoe,RGN,1st half,81.7,48.1,0,Lindsey Michelle Horan,81.3,46.9,0
20180915-RGN-POR-127,20180915-RGN-POR-603,15:13,15:33,Christine Margaret Sinclair,POR,1st half,38.0,6.0,0,Megan Leigh Oyster,93.4,10.3,0
20180915-RGN-POR-128,20180915-RGN-POR-604,15:18,15:38,Megan Leigh Oyster,RGN,1st half,11.6,57.7,1,Lydia Grace Yilkari Williams,2.1,44.5,0
20180915-RGN-POR-129,20180915-RGN-POR-606,15:20,15:40,Lydia Grace Yilkari Williams,RGN,1st half,2.1,44.5,0,Ellie Madison Carpenter,7.6,68.0,0
20180915-RGN-POR-130,20180915-RGN-POR-609,15:50,16:10,Ellie Madison Carpenter,POR,1st half,97.4,0.0,1,Margaret Purce,98.1,23.0,0
20180915-RGN-POR-131,20180915-RGN-POR-615,15:52,16:12,Margaret Purce,POR,1st half,98.1,23.0,1,Tobin Powell Powell Heath,0.0,0.0,0
20180915-RGN-POR-132,20180915-RGN-POR-628,16:27,16:47,Tobin Powell Powell Heath,POR,1st half,104.6,0.5,1,Celeste Anais Boureille,101.0,25.9,0
20180915-RGN-POR-133,20180915-RGN-POR-636,16:52,17:12,Ellie Madison Carpenter,POR,1st half,80.0,0.0,0,Alexandra Linsley Long Batista,96.6,21.5,0
20180915-RGN-POR-134,20180915-RGN-POR-677,17:04,17:24,Rumi Utsugi,RGN,1st half,7.6,30.4,1,Jessica Anne Fishlock,8.2,22.7,0
20180915-RGN-POR-135,20180915-RGN-POR-695,17:38,17:58,Tobin Powell Powell Heath,POR,1st half,105.0,68.0,0,Lydia Grace Yilkari Williams,101.6,36.6,0
20180915-RGN-POR-136,20180915-RGN-POR-707,17:45,18:05,Meghan Elizabeth Klingenberg,POR,1st half,58.4,51.0,1,Emily Townsend Menges,55.0,58.2,0
20180915-RGN-POR-137,20180915-RGN-POR-709,17:47,18:07,Emily Townsend Menges,POR,1st half,55.0,58.2,1,Tobin Powell Powell Heath,73.1,67.3,0
20180915-RGN-POR-138,20180915-RGN-POR-713,17:55,18:15,Tobin Powell Powell Heath,POR,1st half,76.9,52.2,1,Celeste Anais Boureille,92.2,59.9,0
20180915-RGN-POR-139,20180915-RGN-POR-722,18:29,18:49,Tobin Powell Powell Heath,POR,1st half,105.0,68.0,0,Jessica Anne Fishlock,98.7,33.5,0
20180915-RGN-POR-140,20180915-RGN-POR-733,18:54,19:14,Ellie Madison Carpenter,POR,1st half,88.2,0.0,1,Lindsey Michelle Horan,92.0,17.7,0
20180915-RGN-POR-141,20180915-RGN-POR-743,18:56,19:16,Lindsey Michelle Horan,POR,1st half,100.6,21.5,0,Megan Anna Rapinoe,92.0,17.7,0
20180915-RGN-POR-142,20180915-RGN-POR-747,18:58,19:18,Megan Anna Rapinoe,RGN,1st half,13.0,50.3,1,Rumi Utsugi,14.1,43.1,0
20180915-RGN-POR-143,20180915-RGN-POR-756,19:02,19:22,Megan Leigh Oyster,RGN,1st half,14.9,31.4,0,Emily Townsend Menges,50.0,29.5,0
20180915-RGN-POR-144,20180915-RGN-POR-759,19:05,19:25,Emily Townsend Menges,POR,1st half,55.0,38.5,0,Jasmyne Spencer,71.0,46.2,0
20180915-RGN-POR-145,20180915-RGN-POR-768,19:10,19:30,Jasmyne Spencer,RGN,1st half,54.2,28.3,1,Jessica Anne Fishlock,51.7,32.8,0
20180915-RGN-POR-146,20180915-RGN-POR-770,19:13,19:33,Jessica Anne Fishlock,RGN,1st half,52.9,41.2,1,Stephanie-Elise Catley,60.5,57.5,0
20180915-RGN-POR-147,20180915-RGN-POR-774,19:17,19:37,Stephanie-Elise Catley,RGN,1st half,75.0,59.4,1,Megan Anna Rapinoe,90.7,63.0,0
20180915-RGN-POR-148,20180915-RGN-POR-778,19:20,19:40,Megan Anna Rapinoe,RGN,1st half,88.4,60.3,1,Stephanie-Elise Catley,87.8,59.9,0
20180915-RGN-POR-149,20180915-RGN-POR-783,19:26,19:46,Theresa Eslund,RGN,1st half,93.0,18.9,0,Meghan Elizabeth Klingenberg,98.9,27.3,0
20180915-RGN-POR-150,20180915-RGN-POR-785,19:27,19:47,Meghan Elizabeth Klingenberg,POR,1st half,6.1,40.7,0,Alexandra Linsley Long Batista,35.5,56.5,0
20180915-RGN-POR-151,20180915-RGN-POR-793,19:32,19:52,Alexandra Linsley Long Batista,RGN,1st half,73.1,10.3,1,Jessica Anne Fishlock,92.2,40.5,1
20180915-RGN-POR-152,20180915-RGN-POR-806,19:35,19:55,Jessica Anne Fishlock,RGN,1st half,92.2,40.5,0,Emily Townsend Menges,98.7,38.3,0
20180915-RGN-POR-153,20180915-RGN-POR-811,19:41,20:01,Margaret Purce,POR,1st half,26.5,3.4,0,Stephanie-Elise Catley,54.4,5.5,0
20180915-RGN-POR-154,20180915-RGN-POR-812,20:04,20:24,Stephanie-Elise Catley,RGN,1st half,50.6,62.5,0,Celeste Anais Boureille,73.5,57.2,0
20180915-RGN-POR-155,20180915-RGN-POR-814,20:05,20:25,Celeste Anais Boureille,POR,1st half,31.5,10.8,1,Margaret Purce,41.8,2.6,0
20180915-RGN-POR-156,20180915-RGN-POR-816,20:08,20:28,Margaret Purce,POR,1st half,41.8,2.6,0,Stephanie-Elise Catley,64.3,0.0,0
20180915-RGN-POR-157,20180915-RGN-POR-817,20:23,20:43,Stephanie-Elise Catley,RGN,1st half,40.7,68.0,1,Megan Anna Rapinoe,55.9,63.9,0
20180915-RGN-POR-158,20180915-RGN-POR-821,20:26,20:46,Megan Anna Rapinoe,RGN,1st half,54.0,64.4,1,Theresa Eslund,45.8,27.5,0
20180915-RGN-POR-159,20180915-RGN-POR-822,20:29,20:49,Theresa Eslund,RGN,1st half,45.8,27.5,1,Alexandra Linsley Long Batista,32.3,39.5,0
20180915-RGN-POR-160,20180915-RGN-POR-825,20:35,20:55,Alexandra Linsley Long Batista,RGN,1st half,34.4,29.2,1,Rumi Utsugi,33.6,48.6,0
20180915-RGN-POR-161,20180915-RGN-POR-827,20:37,20:57,Rumi Utsugi,RGN,1st half,33.6,48.6,1,Lauren Kate Barnes,25.0,48.1,0
20180915-RGN-POR-162,20180915-RGN-POR-829,20:38,20:58,Lauren Kate Barnes,RGN,1st half,25.0,48.1,1,Stephanie-Elise Catley,44.5,61.1,0
20180915-RGN-POR-163,20180915-RGN-POR-832,20:40,21:00,Stephanie-Elise Catley,RGN,1st half,44.5,60.6,1,Rumi Utsugi,47.0,52.9,0
20180915-RGN-POR-164,20180915-RGN-POR-836,20:42,21:02,Rumi Utsugi,RGN,1st half,47.9,54.6,1,Megan Anna Rapinoe,63.6,57.0,0
20180915-RGN-POR-165,20180915-RGN-POR-837,20:43,21:03,Megan Anna Rapinoe,RGN,1st half,63.6,57.0,1,Stephanie-Elise Catley,63.8,63.7,0
20180915-RGN-POR-166,20180915-RGN-POR-839,20:44,21:04,Stephanie-Elise Catley,RGN,1st half,63.8,63.7,1,Megan Anna Rapinoe,75.6,60.6,0
20180915-RGN-POR-167,20180915-RGN-POR-846,21:04,21:24,Megan Anna Rapinoe,RGN,1st half,96.8,68.0,1,Jessica Anne Fishlock,97.0,60.1,0
20180915-RGN-POR-168,20180915-RGN-POR-850,21:06,21:26,Jessica Anne Fishlock,RGN,1st half,97.2,63.0,1,Megan Anna Rapinoe,97.2,66.8,0
