,raw_event_ID,start_time,end_time,player_ID,team,action,half,pos_x,pos_y,successful
159,893,21:47,22:07,190,Portland Thorns,Dribbles (Unsuccessful actions),1st half,27.5,6.5,null
160,894,21:51,22:11,31,OL Reign,recovery,1st half,98.1,67.0,null
161,899,21:53,22:13,31,OL Reign,challenge,1st half,96.6,62.5,0
162,900,21:53,22:13,30,Portland Thorns,challenge,1st half,8.4,5.5,1
163,901,21:53,22:13,31,OL Reign,Dribbles (Unsuccessful actions),1st half,96.6,62.5,null
164,902,21:53,22:13,30,Portland Thorns,tackle,1st half,8.4,5.5,1
165,904,21:54,22:14,16,Portland Thorns,recovery,1st half,10.9,12.5,null
166,909,21:59,22:19,8,OL Reign,recovery,1st half,66.8,63.2,null
167,920,22:22,22:42,135,OL Reign,dribble,1st half,47.7,50.3,1
168,931,22:36,22:56,8,OL Reign,dribble,1st half,40.3,47.4,1
169,941,22:48,23:08,16,Portland Thorns,recovery,1st half,25.6,24.2,null
170,948,23:16,23:36,219,OL Reign,challenge,1st half,86.7,6.5,0
171,950,23:16,23:36,150,Portland Thorns,challenge,1st half,18.3,61.5,1
172,952,23:16,23:36,150,Portland Thorns,tackle,1st half,18.3,61.5,1
173,953,23:16,23:36,219,OL Reign,Dribbles (Unsuccessful actions),1st half,86.7,6.5,null
174,954,23:18,23:38,121,Portland Thorns,challenge,1st half,6.3,63.9,1
175,955,23:18,23:38,219,OL Reign,challenge,1st half,98.7,4.1,0
176,959,23:26,23:46,172,OL Reign,challenge,1st half,45.2,59.4,0
177,961,23:26,23:46,74,Portland Thorns,challenge,1st half,59.8,8.6,1
178,963,23:27,23:47,135,OL Reign,recovery,1st half,63.0,9.1,null
179,970,23:31,23:51,8,OL Reign,recovery,1st half,44.3,12.2,null
180,972,23:31,23:51,213,Portland Thorns,foul,1st half,60.7,53.6,null
181,984,24:25,24:45,31,OL Reign,recovery,1st half,75.6,64.2,null
182,986,24:26,24:46,192,OL Reign,dribble,1st half,83.6,60.3,1
183,1049,26:26,26:46,217,Portland Thorns,foul,1st half,7.3,11.0,null
