,start_time,end_time,player_ID,team,action,half,pos_x,pos_y
1166,25:43,26:03,Lynn Williams,North Carolina Courage,Passes into the penalty box,1st half,101.6,7.4
1167,25:43,26:03,Jessica Marie McDonald,North Carolina Courage,Corner attacks,1st half,102.5,42.4
1168,25:45,26:05,Savannah McCaskill,Chicago Red Stars,Errors,1st half,3.4,27.1
1169,25:45,26:05,Savannah McCaskill,Chicago Red Stars,Errors leading to goal,1st half,3.4,27.1
1170,25:45,26:05,Morgan Gautrat,Chicago Red Stars,Errors,1st half,3.4,27.1
1171,25:45,26:05,Morgan Gautrat,Chicago Red Stars,Errors leading to goal,1st half,3.4,27.1
1172,25:45,26:05,Jessica Marie McDonald,North Carolina Courage,Corner attacks,1st half,101.6,40.9
1173,27:04,27:24,Julie Beth Ertz,Chicago Red Stars,Positional attacks,1st half,34.4,24.2
1174,27:04,27:24,Julie Beth Ertz,Chicago Red Stars,Passes accurate,1st half,34.4,24.2
1175,27:06,27:26,Samantha Kerr,Chicago Red Stars,Positional attacks,1st half,74.1,19.9
1176,27:06,27:26,Samantha Kerr,Chicago Red Stars,Passes (inaccurate),1st half,74.1,19.9
1177,27:06,27:26,Samantha Kerr,Chicago Red Stars,Lost balls,1st half,80.8,18.9
1178,27:08,27:28,Abby May Erceg,North Carolina Courage,Positional attacks,1st half,24.2,49.1
1179,27:08,27:28,Abby May Erceg,North Carolina Courage,Picking-ups,1st half,24.2,49.1
1180,27:08,27:28,Abby May Erceg,North Carolina Courage,Passes accurate,1st half,23.9,48.8
1181,27:11,27:31,Stephanie Labbe,North Carolina Courage,Passes (inaccurate),1st half,8.0,38.8
1182,27:11,27:31,Stephanie Labbe,North Carolina Courage,Lost balls,1st half,43.3,40.2
1183,27:11,27:31,Stephanie Labbe,North Carolina Courage,Lost balls (in opp. half),1st half,43.3,40.2
1184,27:13,27:33,Morgan Gautrat,Chicago Red Stars,Passes accurate,1st half,61.7,27.8
1185,27:13,27:33,Morgan Gautrat,Chicago Red Stars,Interceptions (in opp. half),1st half,61.7,27.8
1186,27:13,27:33,Morgan Gautrat,Chicago Red Stars,Interceptions,1st half,61.7,27.8
1187,27:15,27:35,Vanessa Sue Di Bernardo,Chicago Red Stars,Passes (inaccurate),1st half,73.5,32.8
1188,27:15,27:35,Vanessa Sue Di Bernardo,Chicago Red Stars,Lost balls,1st half,80.0,30.9
1189,27:16,27:36,Samantha Mewis,North Carolina Courage,Picking-ups,1st half,25.0,37.1
1190,27:17,27:37,Samantha Mewis,North Carolina Courage,Passes accurate,1st half,27.3,40.0
1191,27:21,27:41,Jaelene Mckenzie Daniels,North Carolina Courage,Passes (inaccurate),1st half,42.4,63.2
1192,27:21,27:41,Jaelene Mckenzie Daniels,North Carolina Courage,Lost balls,1st half,63.6,68.0
1193,27:48,28:08,Sarah Gorden,Chicago Red Stars,Positional attacks,1st half,46.6,0.0
1194,27:48,28:08,Sarah Gorden,Chicago Red Stars,Passes accurate,1st half,46.6,0.0
1195,27:49,28:09,Savannah McCaskill,Chicago Red Stars,Passes (inaccurate),1st half,57.8,6.0
1196,27:49,28:09,Savannah McCaskill,Chicago Red Stars,Positional attacks,1st half,57.8,6.0
1197,27:50,28:10,Samantha Mewis,North Carolina Courage,Passes (inaccurate),1st half,42.8,55.3
1198,27:50,28:10,Samantha Mewis,North Carolina Courage,Positional attacks,1st half,42.8,55.3
1199,27:50,28:10,Samantha Mewis,North Carolina Courage,Interceptions,1st half,42.8,55.3
1200,27:50,28:10,Samantha Mewis,North Carolina Courage,Positional attacks,1st half,42.8,55.3
1201,27:50,28:10,Sarah Gorden,Chicago Red Stars,Lost balls,1st half,67.2,0.0
1202,27:50,28:10,Sarah Gorden,Chicago Red Stars,Picking-ups,1st half,45.8,7.7
1203,27:50,28:10,Sarah Gorden,Chicago Red Stars,Positional attacks,1st half,45.8,7.7
1204,27:50,28:10,Sarah Gorden,Chicago Red Stars,Passes (inaccurate),1st half,45.8,7.7
1205,27:50,28:10,Sarah Gorden,Chicago Red Stars,Positional attacks,1st half,45.8,7.7
1206,27:58,28:18,Jaelene Mckenzie Daniels,North Carolina Courage,Passes accurate,1st half,29.2,68.0
1207,27:58,28:18,Jaelene Mckenzie Daniels,North Carolina Courage,Positional attacks,1st half,29.2,68.0
1208,28:04,28:24,Stephanie Labbe,North Carolina Courage,Positional attacks,1st half,12.8,41.2
1209,28:06,28:26,Stephanie Labbe,North Carolina Courage,Passes accurate,1st half,18.9,37.4
1210,28:06,28:26,Stephanie Labbe,North Carolina Courage,Positional attacks,1st half,18.9,37.4
1211,28:07,28:27,Abby May Erceg,North Carolina Courage,Positional attacks,1st half,23.1,48.4
1212,28:08,28:28,Abby May Erceg,North Carolina Courage,Positional attacks,1st half,26.0,53.4
1213,28:08,28:28,Abby May Erceg,North Carolina Courage,Passes accurate,1st half,26.0,53.4
1214,28:09,28:29,Samantha Mewis,North Carolina Courage,Positional attacks,1st half,36.3,59.4
1215,28:12,28:32,Samantha Mewis,North Carolina Courage,Passes accurate,1st half,33.0,52.9
1216,28:12,28:32,Samantha Mewis,North Carolina Courage,Positional attacks,1st half,33.0,52.9
1217,28:13,28:33,Abby May Erceg,North Carolina Courage,Positional attacks,1st half,25.2,45.5
1218,28:15,28:35,Abby May Erceg,North Carolina Courage,Positional attacks,1st half,26.2,42.6
1219,28:15,28:35,Abby May Erceg,North Carolina Courage,Passes accurate,1st half,26.2,42.6
1220,28:16,28:36,Abby Dahlkemper,North Carolina Courage,Positional attacks,1st half,29.0,25.9
1221,28:19,28:39,Abby Dahlkemper,North Carolina Courage,Passes accurate,1st half,33.4,27.8
1222,28:19,28:39,Abby Dahlkemper,North Carolina Courage,Positional attacks,1st half,33.4,27.8
1223,28:20,28:40,Crystal Alyssia Dunn,North Carolina Courage,Positional attacks,1st half,47.2,40.5
1224,28:22,28:42,Crystal Alyssia Dunn,North Carolina Courage,Positional attacks,1st half,51.7,51.7
1225,28:22,28:42,Crystal Alyssia Dunn,North Carolina Courage,Passes (inaccurate),1st half,51.7,51.7
1226,28:24,28:44,Sarah Gorden,Chicago Red Stars,Positional attacks,1st half,35.3,9.3
1227,28:24,28:44,Sarah Gorden,Chicago Red Stars,Passes (inaccurate),1st half,35.3,9.3
1228,28:24,28:44,Sarah Gorden,Chicago Red Stars,Interceptions,1st half,35.3,9.3
1229,28:24,28:44,Sarah Gorden,Chicago Red Stars,Positional attacks,1st half,35.3,9.3
1230,28:25,28:45,Samantha Mewis,North Carolina Courage,Positional attacks,1st half,52.1,59.6
1231,28:25,28:45,Samantha Mewis,North Carolina Courage,Passes accurate,1st half,52.1,59.6
1232,28:25,28:45,Samantha Mewis,North Carolina Courage,Positional attacks,1st half,52.1,59.6
1233,28:25,28:45,Samantha Mewis,North Carolina Courage,Picking-ups,1st half,52.1,59.6
1234,28:27,28:47,Lynn Williams,North Carolina Courage,Positional attacks,1st half,77.5,50.0
1235,28:27,28:47,Lynn Williams,North Carolina Courage,Bad ball control,1st half,77.5,50.0
1236,28:27,28:47,Lynn Williams,North Carolina Courage,Lost balls,1st half,77.5,50.0
1237,28:28,28:48,Sarah Gorden,Chicago Red Stars,Counter-attacks,1st half,32.8,13.6
1238,28:28,28:48,Sarah Gorden,Chicago Red Stars,Positional attacks,1st half,32.8,13.6
1239,28:28,28:48,Sarah Gorden,Chicago Red Stars,Passes accurate,1st half,32.8,13.6
1240,28:28,28:48,Sarah Gorden,Chicago Red Stars,Picking-ups,1st half,32.8,13.6
1241,28:29,28:49,Danielle Colaprico,Chicago Red Stars,Counter-attacks,1st half,38.4,14.4
1242,28:30,28:50,Danielle Colaprico,Chicago Red Stars,Counter-attacks,1st half,39.7,9.6
1243,28:30,28:50,Danielle Colaprico,Chicago Red Stars,Passes accurate,1st half,39.7,9.6
1244,28:31,28:51,Savannah McCaskill,Chicago Red Stars,Counter-attacks,1st half,46.6,4.8
1245,28:32,28:52,Savannah McCaskill,Chicago Red Stars,Counter-attacks,1st half,46.4,6.7
1246,28:32,28:52,Savannah McCaskill,Chicago Red Stars,Passes accurate,1st half,46.4,6.7
1247,28:33,28:53,Samantha Kerr,Chicago Red Stars,Counter-attacks,1st half,63.0,11.5
1248,28:35,28:55,Samantha Kerr,Chicago Red Stars,Counter-attacks,1st half,58.8,3.8
1249,28:35,28:55,Samantha Kerr,Chicago Red Stars,Passes accurate,1st half,58.8,3.8
1250,28:36,28:56,Samantha Mewis,North Carolina Courage,Counter-attacks,1st half,43.9,56.3
1251,28:36,28:56,Savannah McCaskill,Chicago Red Stars,Challenges (lost),1st half,61.1,11.7
1252,28:36,28:56,Savannah McCaskill,Chicago Red Stars,Lost balls,1st half,61.1,11.7
1253,28:36,28:56,Samantha Mewis,North Carolina Courage,Challenges (won),1st half,43.9,56.3
1254,28:38,28:58,Crystal Alyssia Dunn,North Carolina Courage,Passes accurate,1st half,48.1,60.6
1255,28:38,28:58,Crystal Alyssia Dunn,North Carolina Courage,Positional attacks,1st half,48.1,60.6
1256,28:38,28:58,Crystal Alyssia Dunn,North Carolina Courage,Positional attacks,1st half,48.1,60.6
1257,28:38,28:58,Crystal Alyssia Dunn,North Carolina Courage,Picking-ups,1st half,48.1,60.6
1258,28:40,29:00,Abby May Erceg,North Carolina Courage,Positional attacks,1st half,32.6,59.1
1259,28:40,29:00,Abby May Erceg,North Carolina Courage,Passes accurate,1st half,32.6,59.1
1260,28:43,29:03,Stephanie Labbe,North Carolina Courage,Positional attacks,1st half,7.8,43.1
1261,28:45,29:05,Stephanie Labbe,North Carolina Courage,Positional attacks,1st half,7.1,46.7
1262,28:45,29:05,Stephanie Labbe,North Carolina Courage,Passes accurate,1st half,7.1,46.7
1263,28:47,29:07,Abby May Erceg,North Carolina Courage,Positional attacks,1st half,13.4,61.1
1264,28:50,29:10,Abby May Erceg,North Carolina Courage,Passes accurate,1st half,23.5,57.9
1265,28:50,29:10,Abby May Erceg,North Carolina Courage,Positional attacks,1st half,23.5,57.9
1266,28:51,29:11,Samantha Mewis,North Carolina Courage,Passes accurate,1st half,31.3,53.9
1267,28:51,29:11,Samantha Mewis,North Carolina Courage,Positional attacks,1st half,31.3,53.9
1268,28:52,29:12,Abby May Erceg,North Carolina Courage,Positional attacks,1st half,22.7,53.6
1269,28:53,29:13,Abby May Erceg,North Carolina Courage,Passes accurate,1st half,21.6,50.3
1270,28:53,29:13,Abby May Erceg,North Carolina Courage,Positional attacks,1st half,21.6,50.3
1271,28:54,29:14,Stephanie Labbe,North Carolina Courage,Positional attacks,1st half,12.0,35.2
1272,28:56,29:16,Stephanie Labbe,North Carolina Courage,Passes (inaccurate),1st half,15.1,33.0
1273,28:56,29:16,Stephanie Labbe,North Carolina Courage,Positional attacks,1st half,15.1,33.0
1274,29:00,29:20,Casey Short,Chicago Red Stars,Picking-ups,1st half,44.7,58.7
1275,29:00,29:20,Casey Short,Chicago Red Stars,Positional attacks,1st half,44.7,58.7
1276,29:01,29:21,Casey Short,Chicago Red Stars,Positional attacks,1st half,45.6,61.5
1277,29:01,29:21,Casey Short,Chicago Red Stars,Passes (inaccurate),1st half,45.6,61.5
1278,29:07,29:27,Abby Dahlkemper,North Carolina Courage,Picking-ups,1st half,23.7,2.9
1279,29:07,29:27,Abby Dahlkemper,North Carolina Courage,Positional attacks,1st half,23.7,2.9
1280,29:08,29:28,Abby Dahlkemper,North Carolina Courage,Positional attacks,1st half,24.4,6.2
1281,29:08,29:28,Abby Dahlkemper,North Carolina Courage,Passes accurate,1st half,24.4,6.2
1282,29:10,29:30,Stephanie Labbe,North Carolina Courage,Positional attacks,1st half,10.7,20.8
1283,29:12,29:32,Stephanie Labbe,North Carolina Courage,Passes accurate,1st half,12.2,23.0
1284,29:12,29:32,Stephanie Labbe,North Carolina Courage,Positional attacks,1st half,12.2,23.0
1285,29:15,29:35,Abby May Erceg,North Carolina Courage,Positional attacks,1st half,22.9,50.5
1286,29:16,29:36,Abby May Erceg,North Carolina Courage,Positional attacks,1st half,24.4,53.2
1287,29:16,29:36,Abby May Erceg,North Carolina Courage,Passes accurate,1st half,24.4,53.2
1288,29:17,29:37,Jaelene Mckenzie Daniels,North Carolina Courage,Positional attacks,1st half,29.4,64.4
1289,29:19,29:39,Jaelene Mckenzie Daniels,North Carolina Courage,Passes accurate,1st half,25.2,61.1
1290,29:19,29:39,Jaelene Mckenzie Daniels,North Carolina Courage,Positional attacks,1st half,25.2,61.1
1291,29:20,29:40,Abby May Erceg,North Carolina Courage,Positional attacks,1st half,22.1,52.7
1292,29:22,29:42,Abby May Erceg,North Carolina Courage,Passes accurate,1st half,21.6,47.6
1293,29:22,29:42,Abby May Erceg,North Carolina Courage,Positional attacks,1st half,21.6,47.6
1294,29:24,29:44,Stephanie Labbe,North Carolina Courage,Positional attacks,1st half,12.0,37.6
1295,29:26,29:46,Stephanie Labbe,North Carolina Courage,Passes accurate,1st half,13.0,35.7
1296,29:26,29:46,Stephanie Labbe,North Carolina Courage,Positional attacks,1st half,13.0,35.7
1297,29:28,29:48,Denise O'Sullivan,North Carolina Courage,Positional attacks,1st half,45.6,6.0
1298,29:30,29:50,Denise O'Sullivan,North Carolina Courage,Passes accurate,1st half,50.6,5.3
1299,29:30,29:50,Denise O'Sullivan,North Carolina Courage,Positional attacks,1st half,50.6,5.3
1300,29:30,29:50,Jessica Marie McDonald,North Carolina Courage,Positional attacks,1st half,58.0,4.3
1301,29:33,29:53,Jessica Marie McDonald,North Carolina Courage,Positional attacks,1st half,53.3,2.4
1302,29:33,29:53,Jessica Marie McDonald,North Carolina Courage,Passes accurate,1st half,53.3,2.4
1303,29:35,29:55,Heather Ann OReilly,North Carolina Courage,Passes accurate,1st half,42.4,3.8
1304,29:35,29:55,Heather Ann OReilly,North Carolina Courage,Positional attacks,1st half,42.4,3.8
1305,29:36,29:56,Denise O'Sullivan,North Carolina Courage,Passes accurate,1st half,52.1,6.0
1306,29:36,29:56,Denise O'Sullivan,North Carolina Courage,Positional attacks,1st half,52.1,6.0
1307,29:37,29:57,Jessica Marie McDonald,North Carolina Courage,Passes accurate,1st half,54.6,2.6
1308,29:37,29:57,Jessica Marie McDonald,North Carolina Courage,Positional attacks,1st half,54.6,2.6
1309,29:38,29:58,Denise O'Sullivan,North Carolina Courage,Passes accurate,1st half,54.2,8.1
1310,29:38,29:58,Denise O'Sullivan,North Carolina Courage,Positional attacks,1st half,54.2,8.1
1311,29:40,30:00,Jessica Marie McDonald,North Carolina Courage,Crosses (inaccurate),1st half,77.7,3.6
1312,29:40,30:00,Jessica Marie McDonald,North Carolina Courage,Positional attacks,1st half,77.7,3.6
1313,29:40,30:00,Jessica Marie McDonald,North Carolina Courage,Positional attacks,1st half,77.7,3.6
1314,29:40,30:00,Jessica Marie McDonald,North Carolina Courage,Passes (inaccurate),1st half,77.7,3.6
1315,29:40,30:00,Jessica Marie McDonald,North Carolina Courage,Passes into the penalty box,1st half,77.7,3.6
1316,29:40,30:00,Jessica Marie McDonald,North Carolina Courage,Lost balls,1st half,90.9,32.1
1317,29:42,30:02,Julie Beth Ertz,Chicago Red Stars,Positional attacks,1st half,14.1,35.9
1318,29:42,30:02,Julie Beth Ertz,Chicago Red Stars,Interceptions,1st half,14.1,35.9
1319,29:44,30:04,Julie Beth Ertz,Chicago Red Stars,Passes accurate,1st half,8.6,43.3
1320,29:46,30:06,Casey Short,Chicago Red Stars,Passes accurate,1st half,25.0,58.4
1321,29:50,30:10,Morgan Gautrat,Chicago Red Stars,Passes accurate,1st half,37.8,49.8
1322,29:51,30:11,Savannah McCaskill,Chicago Red Stars,Lost balls,1st half,47.2,34.7
1323,29:51,30:11,Savannah McCaskill,Chicago Red Stars,Passes (inaccurate),1st half,47.2,34.5
1324,29:51,30:11,Savannah McCaskill,Chicago Red Stars,Lost balls (in opp. half),1st half,47.2,34.7
1325,29:52,30:12,Jaelene Mckenzie Daniels,North Carolina Courage,Interceptions,1st half,57.8,33.3
1326,29:52,30:12,Jaelene Mckenzie Daniels,North Carolina Courage,Interceptions (in opp. half),1st half,57.8,33.3
1327,29:54,30:14,Jaelene Mckenzie Daniels,North Carolina Courage,Dribbling,1st half,65.9,28.0
1328,29:56,30:16,Julie Beth Ertz,Chicago Red Stars,Tackles (Successful actions),1st half,27.3,40.5
1329,29:56,30:16,Jaelene Mckenzie Daniels,North Carolina Courage,Challenges (lost),1st half,77.7,27.5
1330,29:56,30:16,Julie Beth Ertz,Chicago Red Stars,Challenges (won),1st half,27.3,40.5
1331,29:56,30:16,Jaelene Mckenzie Daniels,North Carolina Courage,Dribbles (Unsuccessful actions),1st half,77.7,27.5
1332,29:56,30:16,Jaelene Mckenzie Daniels,North Carolina Courage,Lost balls,1st half,77.7,27.5
1333,29:57,30:17,Morgan Gautrat,Chicago Red Stars,Picking-ups,1st half,27.9,42.9
1334,29:58,30:18,Morgan Gautrat,Chicago Red Stars,Passes accurate,1st half,20.4,43.1
1335,30:06,30:26,Alyssa Naeher,Chicago Red Stars,Passes accurate,1st half,9.2,31.1
1336,30:07,30:27,Morgan Gautrat,Chicago Red Stars,Passes accurate,1st half,16.8,35.7
1337,30:12,30:32,Julie Beth Ertz,Chicago Red Stars,Passes accurate,1st half,23.1,22.7
1338,30:15,30:35,Denise O'Sullivan,North Carolina Courage,Fouls,1st half,73.1,31.6
1339,32:57,33:17,Alyssa Naeher,Chicago Red Stars,Passes accurate,1st half,31.5,35.9
1340,32:57,33:17,Alyssa Naeher,Chicago Red Stars,Positional attacks,1st half,31.5,35.9
