,raw_event_ID,start_time,end_time,player_ID,team,action,half,pos_x,pos_y,successful
274,2346,49:46,50:06,Jaelene Mckenzie Daniels,North Carolina Courage,tackle,2nd half,11.1,58.9,0
275,2347,49:46,50:06,Katie Johnson Carreon,Chicago Red Stars,take_on,2nd half,93.9,9.1,1
276,2356,49:49,50:09,Jaelene Mckenzie Daniels,North Carolina Courage,recovery,2nd half,12.6,47.2,null
277,2386,51:49,52:09,Julie Beth Ertz,Chicago Red Stars,recovery,2nd half,54.8,2.9,null
278,2402,51:59,52:19,Abby May Erceg,North Carolina Courage,recovery,2nd half,5.2,36.2,null
279,2412,52:14,52:34,Sarah Gorden,Chicago Red Stars,take_on,2nd half,83.8,3.4,1
280,2414,52:14,52:34,Denise O'Sullivan,North Carolina Courage,challenge,2nd half,21.2,64.6,0
281,2415,52:14,52:34,Denise O'Sullivan,North Carolina Courage,tackle,2nd half,21.2,64.6,0
282,2424,52:22,52:42,Stephanie Labbe,North Carolina Courage,recovery,2nd half,2.3,29.0,null
283,2434,52:47,53:07,Vanessa Sue Di Bernardo,Chicago Red Stars,challenge,2nd half,55.7,59.1,1
284,2435,52:47,53:07,Samantha Mewis,North Carolina Courage,challenge,2nd half,49.3,8.9,0
285,2437,52:48,53:08,Samantha Mewis,North Carolina Courage,foul,2nd half,47.7,4.3,null
286,2458,53:31,53:51,Katie Johnson Carreon,Chicago Red Stars,recovery,2nd half,94.5,29.9,null
287,2470,54:14,54:34,Danielle Colaprico,Chicago Red Stars,recovery,2nd half,75.8,64.6,null
288,2479,54:31,54:51,Yuki Ogimi-Nagasato,Chicago Red Stars,recovery,2nd half,74.6,61.1,null
289,2499,54:45,55:05,Yuki Ogimi-Nagasato,Chicago Red Stars,recovery,2nd half,81.7,43.6,null
290,2511,54:55,55:15,Casey Short,Chicago Red Stars,recovery,2nd half,97.0,57.7,null
291,2535,55:35,55:55,Morgan Gautrat,Chicago Red Stars,challenge,2nd half,48.7,17.2,0
292,2536,55:35,55:55,Lynn Williams,North Carolina Courage,challenge,2nd half,56.3,50.8,1
293,2537,55:37,55:57,Kathleen Camille Naughton,Chicago Red Stars,recovery,2nd half,39.1,18.2,null
294,2542,55:39,55:59,Sarah Gorden,Chicago Red Stars,dribble,2nd half,39.5,4.3,1
295,2550,55:48,56:08,Samantha Mewis,North Carolina Courage,dribble,2nd half,50.2,48.4,1
296,2555,56:05,56:25,Casey Short,Chicago Red Stars,tackle,2nd half,7.6,62.7,1
297,2556,56:05,56:25,Casey Short,Chicago Red Stars,challenge,2nd half,7.6,62.7,1
298,2558,56:05,56:25,Debinha,North Carolina Courage,challenge,2nd half,97.4,5.3,0
299,2588,57:23,57:43,Debinha,North Carolina Courage,recovery,2nd half,84.8,9.6,null
300,2601,57:39,57:59,Vanessa Sue Di Bernardo,Chicago Red Stars,challenge,2nd half,26.9,35.7,1
301,2602,57:39,57:59,Vanessa Sue Di Bernardo,Chicago Red Stars,tackle,2nd half,26.9,35.7,1
302,2603,57:39,57:59,Denise O'Sullivan,North Carolina Courage,Dribbles (Unsuccessful actions),2nd half,78.1,32.3,null
303,2604,57:39,57:59,Denise O'Sullivan,North Carolina Courage,challenge,2nd half,78.1,32.3,0
304,2616,57:42,58:02,Jaelene Mckenzie Daniels,North Carolina Courage,challenge,2nd half,68.2,49.3,0
305,2617,57:42,58:02,Katie Johnson Carreon,Chicago Red Stars,challenge,2nd half,36.8,18.7,1
306,2623,57:48,58:08,Katie Johnson Carreon,Chicago Red Stars,dribble,2nd half,46.4,14.8,1
307,2632,57:59,58:19,Sarah Gorden,Chicago Red Stars,dribble,2nd half,76.7,4.5,1
308,2634,58:01,58:21,Sarah Gorden,Chicago Red Stars,challenge,2nd half,83.6,6.9,0
309,2637,58:01,58:21,Jaelene Mckenzie Daniels,North Carolina Courage,challenge,2nd half,21.4,61.1,1
310,2638,58:01,58:21,Jaelene Mckenzie Daniels,North Carolina Courage,tackle,2nd half,21.4,61.1,1
311,2639,58:01,58:21,Sarah Gorden,Chicago Red Stars,Dribbles (Unsuccessful actions),2nd half,83.6,6.9,null
312,2648,58:14,58:34,Lynn Williams,North Carolina Courage,recovery,2nd half,47.0,64.6,null
313,2655,58:17,58:37,Kathleen Camille Naughton,Chicago Red Stars,recovery,2nd half,42.4,11.5,null
314,2670,58:43,59:03,Crystal Alyssia Dunn,North Carolina Courage,recovery,2nd half,42.8,54.4,null
315,2676,58:50,59:10,Debinha,North Carolina Courage,dribble,2nd half,67.2,7.2,1
316,2683,59:27,59:47,Jessica Marie McDonald,North Carolina Courage,challenge,2nd half,99.3,9.6,0
317,2685,59:27,59:47,Casey Short,Chicago Red Stars,challenge,2nd half,5.7,58.4,1
318,2696,60:08,60:28,Jessica Marie McDonald,North Carolina Courage,challenge,2nd half,93.2,33.3,0
319,2697,60:08,60:28,Samantha Kerr,Chicago Red Stars,challenge,2nd half,11.8,34.7,1
320,2700,60:13,60:33,Abby Dahlkemper,North Carolina Courage,recovery,2nd half,67.4,14.8,null
321,2730,61:36,61:56,Morgan Gautrat,Chicago Red Stars,dribble,2nd half,77.9,60.8,1
322,2734,61:36,61:56,Morgan Gautrat,Chicago Red Stars,recovery,2nd half,77.9,60.8,null
323,2735,61:39,61:59,McCall RaNae Zerboni,North Carolina Courage,challenge,2nd half,12.6,5.0,1
324,2737,61:39,61:59,Morgan Gautrat,Chicago Red Stars,challenge,2nd half,92.4,63.0,0
325,2738,61:39,61:59,McCall RaNae Zerboni,North Carolina Courage,tackle,2nd half,12.6,5.0,1
326,2739,61:39,61:59,Morgan Gautrat,Chicago Red Stars,Dribbles (Unsuccessful actions),2nd half,92.4,63.0,null
327,2769,62:28,62:48,Samantha Kerr,Chicago Red Stars,challenge,2nd half,97.7,33.8,0
